"Type","Ticker","Contracts","Direction","Average_Price","Realized_Revenue","Realized_Cost","Realized_Profit","Fees","Created"
"settlement","GPT5-24DEC31","500","Yes","7","0.00","$35.00","-$35.00","0.00","Jan 1, 2025 at 2:28AM EST"
"credit","","0","Yes","0","$1.09","0.00","+$1.09","0.00","Jan 1, 2025 at 3:08AM EST"
"trade","HOUSEMOV-24-R-B1-5","486","No","2","0.00","0.00","$0.00","0.00","Jan 6, 2025 at 2:28PM EST"
"settlement","PRES-2024-RFK","100","Yes","1","0.00","$1.00","-$1.00","0.00","Jan 20, 2025 at 1:04PM EST"
"trade","KXSB-25-PHI","104","Yes","46","0.00","0.00","$0.00","$1.81","Jan 27, 2025 at 2:00AM EST"
"trade","KXMARMAD-25-TN","562","Yes","6","0.00","0.00","$0.00","$2.22","Jan 27, 2025 at 2:03AM EST"
"trade","KXSBSETLISTS-25-KK","32","No","62","0.00","0.00","$0.00","$0.53","Jan 27, 2025 at 4:07PM EST"
"trade","KXGRAMBNA-67-CR","29","Yes","66","0.00","0.00","$0.00","$0.46","Jan 30, 2025 at 11:04PM EST"
"trade","KXGRAMBCS-67-TA","50","Yes","4","0.00","0.00","$0.00","$0.14","Jan 30, 2025 at 11:08PM EST"
"trade","KXGRAMBRA-67-ABNH","2","Yes","50","0.00","0.00","$0.00","$0.04","Jan 30, 2025 at 11:10PM EST"
"trade","KXGRAMBRA-67-ABNH","4","Yes","51","0.00","0.00","$0.00","$0.07","Jan 30, 2025 at 11:10PM EST"
"trade","KXGRAMBRA-67-ABNH","24","Yes","51","0.00","0.00","$0.00","$0.42","Jan 30, 2025 at 11:10PM EST"
"trade","KXGRAMBCS-67-TA","230","Yes","4","0.00","0.00","$0.00","$0.62","Jan 31, 2025 at 2:04AM EST"
"trade","KXSB-25-PHI","25","Yes","47","0.00","0.00","$0.00","$0.44","Jan 31, 2025 at 2:08AM EST"
"settlement","HOUSEMOV-24-D-B1-5","500","Yes","1","0.00","$5.00","-$5.00","0.00","Feb 1, 2025 at 10:00AM EST"
"settlement","HOUSEMOV-24-R-B11-15","500","Yes","1","0.00","$5.00","-$5.00","0.00","Feb 1, 2025 at 10:00AM EST"
"settlement","HOUSEMOV-24-R-B1-5","486","No","2","0.00","$9.72","-$9.72","0.00","Feb 1, 2025 at 10:00AM EST"
"credit","","0","Yes","0","$0.80","0.00","+$0.80","0.00","Feb 2, 2025 at 3:11AM EST"
"settlement","KXGRAMBCS-67-TA","280","Yes","4","$280.00","$11.20","+$268.80","0.00","Feb 2, 2025 at 5:46PM EST"
"settlement","KXGRAMBCS-67-THE","16","No","64","$16.00","$10.24","+$5.76","0.00","Feb 2, 2025 at 5:46PM EST"
"settlement","KXGRAMBCS-67-ABS","20","Yes","69","0.00","$13.80","-$13.80","0.00","Feb 2, 2025 at 5:46PM EST"
"trade","KXGRAMSOTY-67-GLB","200","Yes","7","0.00","0.00","$0.00","$0.92","Feb 2, 2025 at 9:02PM EST"
"trade","KXGRAMSOTY-67-GLB","46","Yes","5","0.00","0.00","$0.00","$0.16","Feb 2, 2025 at 9:35PM EST"
"trade","KXGRAMSOTY-67-GLB","129","Yes","5","0.00","0.00","$0.00","$0.43","Feb 2, 2025 at 9:35PM EST"
"trade","KXGRAMSOTY-67-GLB","25","Yes","5","0.00","0.00","$0.00","$0.09","Feb 2, 2025 at 9:35PM EST"
